,number,title,authors,info,url
0,1,ПРОГРАММНОЕ СРЕДСТВО ДЛЯ ВЫЧИСЛЕНИЯ ГРАДИЕНТА ПАРАМЕТРИЗОВАННОЙ КВАНТОВОЙ СХЕМЫ В ГИБРИДНЫХ КВАНТОВО-КЛАССИЧЕСКИХ АЛГОРИТМАХ,"Филиппов Ф.В., Жаранова А.О.","Свидетельство о регистрации программы для ЭВМ RU 2024616555, 21.03.2024.
 Заявка от 07.03.2024.",https://www.elibrary.ru/item.asp?id=65626291
1,2,МОДЕЛИРОВАНИЕ ПОВЕДЕНИЯ СЛУЧАЙНЫХ ПОКАЗАТЕЛЕЙ ФУНКЦИОНИРОВАНИЯ КОНВЕРГЕНТНЫХ СЕТЕЙ С ЦЕЛЬЮ ПРЕДОТВРАЩЕНИЯ НЕГАТИВНЫХ СОБЫТИЙ,Шерстнева А.А.,"Свидетельство о регистрации программы для ЭВМ RU 2024615507, 11.03.2024.
 Заявка от 01.03.2024.",https://www.elibrary.ru/item.asp?id=64591373
2,3,ВЫПОЛНЕНИЕ ЧИСЛЕННЫХ ОПЕРАЦИЙ НАД СЛУЧАЙНЫМИ ВЕЛИЧИНАМИ В ТЕОРИИ ТЕЛЕТРАФИКА,Шерстнева А.А.,"Свидетельство о регистрации программы для ЭВМ RU 2024615868, 13.03.2024.
 Заявка от 01.03.2024.",https://www.elibrary.ru/item.asp?id=64598393
3,4,СТАТИСТИЧЕСКИЙ АНАЛИЗ ВЕРОЯТНОСТНО-ВРЕМЕННЫХ ХАРАКТЕРИСТИК ИНФОКОММУНИКАЦИОННЫХ СИСТЕМ,Шерстнева А.А.,"Свидетельство о регистрации программы для ЭВМ RU 2024615927, 14.03.2024.
 Заявка от 01.03.2024.",https://www.elibrary.ru/item.asp?id=64598568
4,5,СЕРВИС УПРАВЛЕНИЯ ПРОЕКТАМИ НА ОСНОВЕ ПОДХОДА KANBAN,"Ликарь А.И., Дружина А.В.","Свидетельство о регистрации программы для ЭВМ RU 2024615597, 11.03.2024.
 Заявка от 01.03.2024.",https://www.elibrary.ru/item.asp?id=64591583
5,6,ИМИТАЦИОННАЯ МОДЕЛЬ ИССЛЕДОВАНИЯ ЗАВИСИМОСТИ ОТНОШЕНИЯ СИГНАЛ/ПОМЕХА ОТ ТОЧНОСТИ ОЦЕНОК КООРДИНАТ ПРИ УПРАВЛЕНИИ СОВОКУПНОСТЬЮ НАПРАВЛЕННЫХ РАДИОЛИНИЙ С ДИАГРАММООБРАЗОВАНИЕМ НА ОСНОВЕ ПОЗИЦИОНИРОВАНИЯ,Фокин Г.А.,"Свидетельство о регистрации программы для ЭВМ RU 2024615616, 11.03.2024.
 Заявка от 01.03.2024.",https://www.elibrary.ru/item.asp?id=64591620
6,7,ПОДГОТОВКА ПРОФЕССИОНАЛЬНЫХ КАДРОВ В МАГИСТРАТУРЕ ДЛЯ ЦИФРОВОЙ ЭКОНОМИКИ (ПКМ-2023),,"Всероссийская научно-техническая и научно-методическая конференция магистрантов и их руководителей. Сборник лучших докладов: в 2-х томах / Том 2.  Санкт-Петербург, 2024.",https://www.elibrary.ru/item.asp?id=65698551
7,8,НОВЫЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ В ОБРАЗОВАНИИ,,"Сборник научных трудов XXIV Международной научно-практической конференции / Часть 1.  Москва, 2024.",https://www.elibrary.ru/item.asp?id=65423021
8,9,ПРОГРАММНЫЙ МОДУЛЬ ДЛЯ ОЦЕНИВАНИЯ ИЗМЕНЕНИЯ ПОТЕРЬ ПРИ ПОСЛОЙНОЙ ОПТИМИЗАЦИИ В ГИБРИДНЫХ КВАНТОВО-КЛАССИЧЕСКИХ АЛГОРИТМАХ,"Филиппов Ф.В., Жаранова А.О.","Свидетельство о регистрации программы для ЭВМ RU 2024616592, 21.03.2024.
 Заявка от 07.03.2024.",https://www.elibrary.ru/item.asp?id=65626328
9,10,ПРОБЛЕМЫ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ В КИБЕРПРОСТРАНСТВЕ,"Солодянников А.В., Васильева И.Н., Андреевский И.Л., Буров С.Д., Выволокина А.В., Гарькушев А.Ю., Гниденко И.Г., Гречушкин Д.Е., Егорова И.В., Заводовская И.Д., Иванченко А.С., Ильина О.П., Кузнецова О.Б., Майорова Е.В., Мердина О.Д., Мироненко Ю.В., Поведайко М.Д., Селивестров С.Д., Соколовская С.А., Стельмашонок В.Л. и др.","Монография /  Санкт-Петербург, 2024.",https://www.elibrary.ru/item.asp?id=60025599
